ID,Year_Birth,Age,Generasi,Education,Marital_Status,Income,Economic_Stat,Kidhome,Teenhome,Dependent,Dt_Customer,Recency,Complain,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,mnttotal,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,totalpurchases,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,totalacceptedcmp,Recency_Category
1994,1983,31,Milennial,Bachelor,Married,50737.0,Low,1,0,1,2013-11-15,11,0,6.0,5,7,0,2,3,23.0,1,1,0,2,7,4,0,0,0,0,0,0,0,Low Recency
387,1976,38,Milennial,Basic,Married,7500.0,Lowest,0,0,0,2012-11-13,59,0,6.0,16,11,11,1,16,61.0,1,2,0,3,8,6,0,0,0,0,0,0,0,High Recency
2125,1959,55,Boomers,Bachelor,Divorced,63033.0,High,0,0,0,2013-11-15,82,0,194.0,61,480,120,89,30,974.0,1,3,4,8,2,16,0,0,0,0,0,0,0,High Recency
8180,1952,62,Boomers,Master,Divorced,59354.0,High,1,1,2,2013-11-15,53,0,233.0,2,53,3,5,14,310.0,3,6,1,5,6,15,0,0,0,0,0,0,0,High Recency
2569,1987,27,Milennial,Bachelor,Married,17323.0,Lowest,0,0,0,2012-10-10,38,0,6.0,14,17,6,1,5,49.0,1,1,0,3,8,5,0,0,0,0,0,0,0,High Recency
2114,1946,68,Boomers,PhD,Single,82800.0,Highest,0,0,0,2012-11-24,23,0,822.1000000000001,22,115,59,68,45,1131.1000000000001,1,7,6,11,3,25,1,0,0,0,1,1,3,Low Recency
9736,1980,34,Milennial,Bachelor,Married,41850.0,Low,1,1,2,2012-12-24,51,0,53.0,5,19,2,13,4,96.0,3,3,0,3,8,9,0,0,0,0,0,0,0,High Recency
4939,1946,68,Boomers,Bachelor,Married,37760.0,Low,0,0,0,2012-08-31,20,0,84.0,5,38,120,12,28,287.0,2,4,1,6,7,13,0,0,0,0,0,0,0,Low Recency
6565,1949,65,Boomers,Master,Married,76995.0,Highest,0,1,1,2013-03-28,91,0,822.1000000000001,80,498,0,16,122,1538.1000000000001,2,8,4,9,5,23,1,0,0,0,0,0,1,High Recency
2278,1985,29,Milennial,Master,Single,33812.0,Lowest,1,0,1,2012-11-03,86,0,6.0,17,19,30,24,39,135.0,2,2,1,3,6,8,0,0,0,0,0,0,0,High Recency
9360,1982,32,Milennial,Bachelor,Married,37040.0,Low,0,0,0,2012-08-08,41,0,86.0,2,73,69,38,48,316.0,1,4,2,5,8,12,0,0,0,0,0,0,0,High Recency
5376,1979,35,Milennial,Bachelor,Married,2447.0,Lowest,1,0,1,2013-01-06,42,0,6.0,1,499,1,1,3,511.0,5,1,7,2,2,15,0,0,0,0,0,0,0,High Recency
1993,1949,65,Boomers,PhD,Married,58607.0,High,0,1,1,2012-12-23,63,0,822.1000000000001,0,86,0,0,19,927.1000000000001,3,2,3,9,8,17,0,0,0,1,0,0,1,High Recency
4047,1954,60,Boomers,PhD,Married,65324.0,High,0,1,1,2014-01-11,0,0,384.0,0,102,21,32,5,544.0,3,6,2,9,4,20,0,0,0,0,0,0,0,Low Recency
1409,1951,63,Boomers,Bachelor,Married,40689.0,Low,0,1,1,2013-03-18,69,0,270.0,3,27,39,6,99,444.0,5,7,1,5,8,18,0,0,0,0,0,0,0,High Recency
7892,1969,45,Gen X,Bachelor,Single,18589.0,Lowest,0,0,0,2013-01-02,89,0,6.0,4,25,15,12,13,75.0,2,2,1,3,7,8,0,0,0,0,0,0,0,High Recency
2404,1976,38,Milennial,Bachelor,Married,53359.0,High,1,1,2,2013-05-27,4,0,173.0,4,30,3,6,41,257.0,4,5,1,4,7,14,0,0,0,0,0,0,0,Low Recency
5255,1986,28,Milennial,Bachelor,Single,49973.5,Low,1,0,1,2013-02-20,19,0,6.0,1,7,3,89,122,228.0,1,8,0,2,2,11,0,0,0,0,0,0,0,Low Recency
9422,1989,25,Milennial,Bachelor,Married,38360.0,Low,1,0,1,2013-05-31,26,0,36.0,2,42,20,21,10,131.0,2,2,1,4,3,9,0,0,0,0,0,0,0,Low Recency
1966,1965,49,Gen X,PhD,Married,84618.0,Highest,0,0,0,2013-11-22,96,0,684.0,83,499,21,66,3,1356.0,1,6,7,10,2,24,0,0,0,0,1,0,1,High Recency
6864,1989,25,Milennial,Master,Divorced,10979.0,Lowest,0,0,0,2014-05-22,34,0,8.0,4,10,2,2,4,30.0,2,3,0,3,5,8,0,0,0,0,0,0,0,High Recency
3033,1963,51,Gen X,Master,Married,38620.0,Low,0,0,0,2013-05-11,56,0,112.0,17,44,34,22,89,318.0,1,2,5,3,3,11,0,0,0,0,0,0,0,High Recency
5710,1970,44,Gen X,Bachelor,Married,40548.0,Low,0,1,1,2012-10-10,31,0,110.0,0,7,2,0,3,122.0,2,2,1,4,5,9,0,0,0,1,0,0,1,High Recency
7373,1952,62,Boomers,PhD,Divorced,46610.0,Low,0,2,2,2012-10-29,8,0,96.0,12,96,33,22,43,302.0,5,4,1,6,6,16,0,0,0,0,0,1,1,Low Recency
8755,1946,68,Boomers,Master,Married,68657.0,Highest,0,0,0,2013-02-20,4,0,482.0,34,471,119,68,22,1196.0,1,3,5,9,7,18,0,0,0,0,0,0,0,Low Recency
10738,1951,63,Boomers,Master,Single,49389.0,Low,1,1,2,2013-08-29,55,0,40.0,0,19,2,1,3,65.0,1,2,0,3,7,6,0,0,0,0,0,0,0,High Recency
4339,1970,44,Gen X,PhD,Married,67353.0,High,0,1,1,2013-12-31,37,0,702.0,17,151,0,8,35,913.0,5,5,6,11,2,27,0,0,0,0,0,0,0,High Recency
10755,1976,38,Milennial,Master,Married,23718.0,Lowest,1,0,1,2013-09-02,76,0,6.0,3,14,15,7,36,81.0,3,3,1,2,7,9,0,0,0,0,0,0,0,High Recency
8595,1973,41,Gen X,Bachelor,Widow,42429.0,Low,0,1,1,2014-02-11,99,0,55.0,0,7,2,0,4,68.0,2,1,1,3,5,7,0,0,0,0,0,0,0,High Recency
2968,1943,71,Boomers,PhD,Divorced,48948.0,Low,0,0,0,2013-02-01,53,0,437.0,8,206,120,49,42,862.0,2,7,7,5,6,21,0,0,1,0,0,1,2,High Recency
8601,1980,34,Milennial,Bachelor,Married,80011.0,Highest,0,1,1,2013-04-29,3,0,421.0,76,499,82,89,102,1269.0,2,8,6,5,4,21,0,0,0,0,0,0,0,Low Recency
503,1985,29,Milennial,Master,Married,20559.0,Lowest,1,0,1,2013-03-12,88,0,13.0,1,29,3,0,7,53.0,2,2,0,3,8,7,0,0,0,0,0,0,0,High Recency
8430,1957,57,Boomers,Bachelor,Married,21994.0,Lowest,0,1,1,2012-12-24,4,0,9.0,0,7,3,1,3,23.0,1,1,0,3,5,5,0,0,0,0,0,0,0,Low Recency
7281,1959,55,Boomers,PhD,Single,50198.0,Low,0,0,0,2013-11-05,80,0,81.0,11,50,3,2,39,186.0,1,1,3,4,2,9,0,0,0,0,0,0,0,High Recency
2139,1975,39,Gen X,Master,Married,7500.0,Lowest,1,0,1,2013-10-02,19,0,6.0,1,10,3,2,12,34.0,3,2,0,3,5,8,0,0,0,0,0,0,0,Low Recency
1371,1976,38,Milennial,Bachelor,Single,79941.0,Highest,0,0,0,2014-06-28,72,0,123.0,83,266,120,30,122,744.0,1,2,4,9,2,16,0,0,0,0,0,0,0,High Recency
9909,1996,18,Gen Z,Master,Married,7500.0,Lowest,0,0,0,2012-11-09,24,0,6.0,18,14,15,22,50,125.0,3,3,1,3,8,10,0,0,0,0,0,1,1,Low Recency
7286,1968,46,Gen X,Bachelor,Married,41728.0,Low,1,0,1,2013-05-24,92,0,13.0,6,15,3,5,13,55.0,1,2,0,2,8,5,0,0,0,0,0,0,0,High Recency
7244,1951,63,Boomers,Bachelor,Single,49973.5,Low,2,1,3,2014-01-01,96,0,48.0,5,48,6,10,7,124.0,3,2,1,4,6,10,0,0,0,0,0,0,0,High Recency
6566,1954,60,Boomers,PhD,Married,72550.0,Highest,1,1,2,2012-11-08,39,0,822.1000000000001,50,317,50,38,38,1315.1000000000001,5,5,2,11,8,23,0,0,0,0,0,0,0,High Recency
8614,1957,57,Boomers,Bachelor,Widow,65486.0,High,0,1,1,2014-05-12,29,0,245.0,19,125,37,67,14,507.0,1,4,2,10,2,17,0,0,0,0,0,0,0,Low Recency
4114,1964,50,Gen X,Master,Married,79143.0,Highest,0,0,0,2012-08-11,2,0,650.0,37,499,27,89,32,1334.0,1,6,7,11,3,25,0,0,0,0,0,0,0,Low Recency
1331,1977,37,Milennial,Bachelor,Single,35790.0,Low,1,0,1,2013-01-02,54,0,12.0,6,20,30,1,3,72.0,2,2,0,3,7,7,0,0,0,0,0,0,0,High Recency
2225,1977,37,Milennial,Bachelor,Divorced,82582.0,Highest,0,0,0,2014-06-07,54,0,510.0,83,499,120,40,122,1374.0,1,4,7,7,2,19,1,0,1,0,0,1,3,High Recency
9381,1978,36,Milennial,Bachelor,Married,66373.0,High,1,1,2,2013-06-12,57,0,328.0,9,124,12,24,109,606.0,5,4,2,10,3,21,0,0,0,0,0,0,0,High Recency
6260,1955,59,Boomers,Master,Married,82384.0,Highest,0,0,0,2012-11-19,55,0,822.1000000000001,51,432,120,89,122,1636.1000000000001,1,3,7,11,2,22,0,0,0,0,1,1,2,High Recency
10383,1966,48,Gen X,Bachelor,Divorced,70287.0,Highest,0,0,0,2013-04-02,30,0,295.0,35,482,120,89,40,1061.0,1,5,5,10,3,21,0,0,0,0,0,1,1,Low Recency
7437,1988,26,Milennial,Bachelor,Single,27938.0,Lowest,1,0,1,2014-04-28,31,0,13.0,0,8,2,1,5,29.0,1,1,0,4,3,6,0,0,0,0,0,0,0,High Recency
8557,1982,32,Milennial,Bachelor,Single,49973.5,Low,1,0,1,2013-06-17,57,0,11.0,3,22,2,2,6,46.0,2,2,0,3,6,7,0,0,0,0,0,0,0,High Recency
8375,1968,46,Gen X,PhD,Married,55954.0,High,0,1,1,2014-03-03,63,0,447.0,0,28,0,0,43,518.0,3,8,2,6,7,19,0,0,0,0,0,0,0,High Recency
6853,1982,32,Milennial,Master,Single,75777.0,Highest,0,0,0,2013-07-04,12,0,712.0,26,499,69,13,80,1399.0,1,3,6,11,2,21,0,0,0,1,1,1,3,Low Recency
3076,1975,39,Gen X,Bachelor,Married,66653.0,High,1,1,2,2012-09-07,18,0,452.0,18,102,16,18,6,612.0,4,4,2,11,3,21,0,0,0,0,0,0,0,Low Recency
1012,1952,62,Boomers,Bachelor,Single,61823.0,High,0,1,1,2013-02-18,26,0,523.0,7,134,37,14,122,837.0,4,8,2,10,7,24,0,0,0,0,0,0,0,Low Recency
6518,1951,63,Boomers,PhD,Widow,67680.0,High,0,1,1,2013-06-11,8,0,546.0,0,48,0,6,6,606.0,1,7,3,8,5,19,0,0,0,0,0,0,0,Low Recency
4137,1948,66,Boomers,Bachelor,Married,70666.0,Highest,0,0,0,2013-12-06,29,0,398.0,40,367,119,89,30,1043.0,1,7,4,4,4,16,0,0,0,0,0,0,0,Low Recency
8082,1971,43,Gen X,Bachelor,Married,25721.0,Lowest,1,0,1,2013-05-21,75,0,6.0,3,7,3,6,15,40.0,1,1,1,2,7,5,0,0,0,0,0,1,1,High Recency
1386,1967,47,Gen X,Bachelor,Married,32474.0,Lowest,1,1,2,2014-05-11,0,0,10.0,0,7,0,0,3,20.0,1,1,0,2,7,4,0,0,0,0,0,0,0,Low Recency
9369,1979,35,Milennial,Master,Single,88194.0,Highest,0,1,1,2014-03-19,19,0,688.0,14,309,120,24,38,1193.0,1,8,7,10,5,26,1,0,1,0,0,1,3,Low Recency
4477,1958,56,Boomers,Bachelor,Married,69096.0,Highest,0,1,1,2013-09-27,4,0,247.0,49,159,7,82,109,653.0,1,5,2,10,4,18,0,0,0,0,0,0,0,Low Recency
1357,1970,44,Gen X,Bachelor,Married,74854.0,Highest,1,2,3,2013-04-08,90,0,822.1000000000001,59,487,58,29,73,1528.1000000000001,5,2,5,5,5,17,0,0,0,0,0,0,0,High Recency
1402,1954,60,Boomers,Master,Married,66991.0,High,0,0,0,2012-09-11,1,0,496.0,36,460,120,60,12,1184.0,3,4,7,6,3,20,0,0,0,0,0,0,0,Low Recency
10629,1973,41,Gen X,Master,Married,46462.5,Low,1,0,1,2012-09-14,25,0,25.0,3,43,17,4,17,109.0,3,3,0,3,8,9,0,0,0,0,0,0,0,Low Recency
6312,1959,55,Boomers,Bachelor,Married,65031.0,High,0,1,1,2013-03-17,29,0,258.0,83,291,84,37,86,839.0,4,8,3,11,7,26,0,0,0,0,0,0,0,Low Recency
8132,1975,39,Gen X,PhD,Married,60631.0,High,1,1,2,2013-04-05,88,0,565.0,6,65,0,6,19,661.0,5,8,2,8,7,23,0,0,0,1,0,0,1,High Recency
1050,1952,62,Boomers,Bachelor,Married,28332.0,Lowest,0,0,0,2014-04-30,58,0,14.0,10,13,4,15,9,65.0,1,2,1,4,2,8,0,0,0,0,0,0,0,High Recency
5846,1977,37,Milennial,Bachelor,Divorced,40246.0,Low,1,0,1,2012-12-19,68,0,6.0,1,7,2,1,3,20.0,1,1,0,2,6,4,0,0,0,0,0,0,0,High Recency
1859,1972,42,Gen X,Master,Married,75251.0,Highest,0,0,0,2012-08-27,34,0,721.0,83,499,97,18,18,1436.0,1,7,6,5,5,19,0,0,0,0,0,1,1,High Recency
7503,1976,38,Milennial,Bachelor,Single,75825.0,Highest,0,0,0,2012-10-12,40,0,822.1000000000001,83,499,120,89,51,1664.1000000000001,1,5,7,9,4,22,0,0,1,0,0,1,2,High Recency
10401,1976,38,Milennial,Master,Married,26326.0,Lowest,0,0,0,2013-09-04,12,1,6.0,0,7,0,3,9,25.0,1,1,0,3,3,5,0,0,0,0,0,0,0,Low Recency
1618,1965,49,Gen X,Bachelor,Married,56046.0,High,0,0,0,2013-01-02,9,0,577.0,0,64,0,0,51,692.0,2,8,1,8,8,19,0,0,1,0,0,1,2,Low Recency
3332,1985,29,Milennial,Bachelor,Single,29760.0,Lowest,1,0,1,2012-08-29,87,0,64.0,4,68,7,5,17,165.0,4,3,1,4,8,12,0,0,0,0,0,0,0,High Recency
2261,1969,45,Gen X,Bachelor,Married,26304.0,Lowest,1,0,1,2013-06-23,5,0,6.0,1,7,2,0,4,20.0,1,1,0,2,7,4,0,0,0,0,0,0,0,Low Recency
5346,1973,41,Gen X,Master,Married,23559.0,Lowest,1,0,1,2013-07-03,87,0,25.0,5,19,7,0,23,79.0,3,3,0,3,7,9,0,0,0,0,0,0,0,High Recency
4119,1963,51,Gen X,Master,Married,38620.0,Low,0,0,0,2013-05-11,56,0,112.0,17,44,34,22,89,318.0,1,2,5,3,3,11,0,0,0,0,0,0,0,High Recency
535,1987,27,Milennial,Bachelor,Divorced,81361.0,Highest,0,0,0,2014-02-25,18,0,163.0,23,424,27,65,76,778.0,1,3,7,11,2,22,0,0,0,0,0,0,0,Low Recency
5268,1960,54,Gen X,Bachelor,Married,29440.0,Lowest,1,1,2,2013-08-11,95,0,17.0,8,14,10,4,3,56.0,2,1,0,4,7,7,0,0,0,0,0,0,0,High Recency
273,1970,44,Gen X,Master,Married,36138.0,Low,1,1,2,2013-07-16,48,0,130.0,0,16,0,0,5,151.0,5,3,1,4,7,13,0,0,0,1,0,0,1,High Recency
4452,1957,57,Boomers,Bachelor,Single,50388.0,Low,0,1,1,2014-05-28,3,0,292.0,6,37,0,3,34,372.0,4,6,1,6,7,17,1,0,0,1,0,1,3,Low Recency
8504,1973,41,Gen X,Bachelor,Married,79593.0,Highest,0,0,0,2014-05-12,70,0,350.0,60,499,110,89,122,1230.0,1,5,6,7,2,19,0,0,0,0,1,0,1,High Recency
771,1967,47,Gen X,Bachelor,Married,54178.0,High,0,1,1,2014-01-21,79,0,135.0,9,39,4,0,7,194.0,1,2,2,5,2,10,0,0,0,0,0,0,0,High Recency
8996,1957,57,Boomers,PhD,Married,57081.5,High,2,1,3,2012-11-19,4,0,230.0,42,192,49,37,53,603.0,5,7,2,8,8,22,0,0,0,0,0,0,0,Low Recency
9235,1957,57,Boomers,Bachelor,Single,49973.5,Low,1,1,2,2014-05-27,45,0,7.0,0,8,2,0,3,20.0,1,1,0,2,7,4,0,0,0,0,0,0,0,High Recency
5798,1973,41,Gen X,Master,Married,49736.0,Low,0,0,0,2013-11-23,87,0,445.0,37,359,98,28,18,985.0,1,2,4,8,2,15,0,0,0,0,0,0,0,High Recency
11178,1972,42,Gen X,Master,Single,42394.0,Low,1,0,1,2014-03-23,69,0,15.0,2,10,0,1,4,32.0,1,1,0,3,7,5,0,0,0,0,0,0,0,High Recency
2230,1970,44,Gen X,PhD,Married,23626.0,Lowest,1,0,1,2014-05-24,84,0,27.0,2,14,0,0,3,46.0,3,3,1,3,5,10,0,0,0,0,0,0,0,High Recency
7516,1983,31,Milennial,Bachelor,Married,30096.0,Lowest,1,0,1,2014-05-22,30,0,6.0,3,11,12,5,9,46.0,1,2,0,3,6,6,0,0,0,0,0,0,0,Low Recency
7247,1960,54,Gen X,Bachelor,Widow,47916.0,Low,0,1,1,2012-11-22,72,0,505.0,0,26,0,0,75,606.0,5,7,4,6,6,22,0,0,0,1,0,0,1,High Recency
11100,1972,42,Gen X,Bachelor,Divorced,51813.0,High,1,1,2,2013-04-11,37,0,51.0,2,7,0,1,3,64.0,2,2,0,3,7,7,0,0,0,0,0,0,0,High Recency
4646,1951,63,Boomers,Master,Married,78497.0,Highest,0,0,0,2013-12-01,44,0,207.0,26,447,75,0,122,877.0,1,5,7,11,2,24,1,0,0,0,0,0,1,High Recency
3037,1983,31,Milennial,PhD,Married,50150.0,Low,0,0,0,2013-06-20,32,0,135.0,46,92,65,61,11,410.0,2,5,2,7,5,16,0,0,0,0,0,0,0,High Recency
1473,1960,54,Gen X,Master,Single,47823.0,Low,0,1,1,2013-07-23,0,0,53.0,1,7,2,1,10,74.0,2,2,0,3,8,7,0,0,0,0,0,0,0,Low Recency
1016,1959,55,Boomers,PhD,Single,34554.0,Lowest,0,1,1,2014-03-30,43,0,41.0,1,7,2,0,5,56.0,2,2,0,3,6,7,0,0,0,0,0,0,0,High Recency
4518,1979,35,Milennial,Bachelor,Married,85693.0,Highest,0,1,1,2013-04-20,59,0,386.0,83,183,120,89,111,972.0,2,8,5,11,5,26,0,0,0,0,0,0,0,High Recency
9370,1945,69,Boomers,PhD,Married,65846.0,High,0,0,0,2013-05-17,68,0,562.0,81,276,80,40,81,1120.0,1,6,3,6,4,16,0,0,0,0,0,0,0,High Recency
8908,1959,55,Boomers,Bachelor,Married,87195.0,Highest,0,0,0,2014-05-08,35,0,217.0,76,499,50,26,38,906.0,1,3,7,5,2,16,0,0,0,0,0,1,1,High Recency
8373,1979,35,Milennial,Basic,Married,24594.0,Lowest,1,0,1,2013-12-10,94,0,6.0,3,7,10,0,9,35.0,1,1,0,3,5,5,0,0,0,0,0,0,0,High Recency
7533,1964,50,Gen X,Bachelor,Married,49096.0,Low,1,1,2,2013-09-24,15,0,144.0,1,32,2,1,7,187.0,4,4,1,4,7,13,0,0,0,0,0,0,0,Low Recency
2683,1969,45,Gen X,Bachelor,Married,52413.0,High,0,2,2,2013-02-02,56,0,295.0,83,271,75,89,65,878.0,4,6,4,11,6,25,0,0,0,0,0,0,0,High Recency
3629,1978,36,Milennial,Bachelor,Single,38557.0,Low,1,0,1,2012-12-19,17,0,76.0,3,31,4,4,27,145.0,2,3,1,3,7,9,0,0,0,0,0,0,0,Low Recency
10991,1960,54,Gen X,Master,Married,89058.0,Highest,0,0,0,2012-12-07,18,0,454.0,83,106,31,22,43,739.0,1,5,4,4,2,14,0,0,0,0,0,0,0,Low Recency
5077,1979,35,Milennial,Bachelor,Married,77298.0,Highest,0,1,1,2013-11-02,46,0,425.0,83,292,23,35,79,937.0,1,6,6,11,3,24,0,0,0,0,0,0,0,High Recency
7431,1991,23,Milennial,PhD,Single,68126.0,Highest,0,0,0,2012-11-10,40,0,822.1000000000001,17,311,23,51,86,1310.1000000000001,1,7,4,5,8,17,0,0,0,1,0,1,2,High Recency
3267,1963,51,Gen X,Master,Married,57288.0,High,0,1,1,2014-06-25,27,0,527.0,0,21,0,0,60,608.0,3,8,1,8,6,20,0,0,0,1,0,0,1,Low Recency
999,1991,23,Milennial,Bachelor,Single,86037.0,Highest,0,0,0,2013-01-02,95,0,490.0,44,125,29,20,22,730.0,1,6,7,11,3,25,0,0,0,1,1,1,3,High Recency
9215,1980,34,Milennial,PhD,Married,43974.0,Low,1,0,1,2012-12-12,19,0,378.0,0,101,0,0,72,551.0,5,6,4,6,7,21,0,0,0,0,0,0,0,Low Recency
2286,1962,52,Gen X,Bachelor,Single,50785.0,Low,1,1,2,2013-09-10,27,0,64.0,1,21,0,1,27,114.0,2,2,1,3,6,8,0,0,0,0,0,0,0,Low Recency
1592,1970,44,Gen X,Bachelor,Married,90765.0,Highest,0,0,0,2014-01-24,25,0,547.0,83,499,120,82,33,1364.0,1,4,6,5,2,16,1,0,0,0,1,0,2,Low Recency
367,1978,36,Milennial,Master,Married,36550.0,Low,1,0,1,2013-02-19,74,0,47.0,83,94,120,89,120,553.0,5,8,1,5,8,19,0,0,0,0,0,0,0,High Recency
5234,1967,47,Gen X,Master,Married,30753.0,Lowest,1,1,2,2013-07-11,85,0,12.0,5,25,0,9,30,81.0,2,1,1,3,5,7,0,0,0,0,0,0,0,High Recency
9862,1969,45,Gen X,Bachelor,Married,21918.0,Lowest,1,0,1,2013-11-14,37,0,6.0,6,7,11,5,3,38.0,2,2,0,3,6,7,0,0,0,0,0,0,0,High Recency
9805,1953,61,Boomers,Master,Married,56129.0,High,0,1,1,2013-06-20,65,0,320.0,48,133,39,72,48,660.0,4,6,2,10,4,22,0,0,0,0,0,0,0,High Recency
6205,1967,47,Gen X,Master,Single,32557.0,Lowest,1,0,1,2014-02-24,13,0,34.0,3,29,0,4,10,80.0,3,2,1,3,5,9,0,0,0,0,0,1,1,Low Recency
8442,1985,29,Milennial,Master,Married,19510.0,Lowest,2,0,2,2013-09-04,63,0,9.0,0,7,3,4,7,30.0,2,1,0,3,7,6,0,0,0,0,0,0,0,High Recency
7386,1976,38,Milennial,Bachelor,Divorced,30992.0,Lowest,1,0,1,2013-04-22,83,0,17.0,0,14,7,3,3,44.0,1,1,0,3,7,5,0,0,0,0,0,0,0,High Recency
7215,1983,31,Milennial,Bachelor,Single,101970.0,Highest,0,0,0,2013-03-12,69,0,722.0,27,102,44,72,122,1089.0,1,6,7,11,2,25,1,0,0,1,1,1,4,High Recency
1491,1965,49,Gen X,Master,Married,71488.0,Highest,0,0,0,2013-02-18,87,0,162.0,33,124,40,28,122,509.0,2,3,4,7,2,16,0,0,0,0,0,0,0,High Recency
11071,1984,30,Milennial,Bachelor,Single,79607.0,Highest,0,0,0,2013-04-21,37,0,450.0,83,499,120,0,122,1274.0,1,3,6,6,2,16,0,0,0,0,0,1,1,High Recency
3381,1953,61,Boomers,Master,Married,54348.0,High,1,1,2,2014-06-08,51,0,70.0,0,16,0,0,4,90.0,2,2,0,4,6,8,0,0,0,0,0,0,0,High Recency
8268,1961,53,Gen X,PhD,Married,57081.5,High,0,1,1,2013-07-11,23,0,352.0,0,27,10,0,15,404.0,3,6,1,7,6,17,0,0,0,0,0,0,0,Low Recency
11051,1956,58,Boomers,PhD,Married,77376.0,Highest,1,1,2,2014-05-10,72,0,492.0,19,110,16,12,12,661.0,4,6,3,10,4,23,0,0,0,0,0,0,0,High Recency
8026,1952,62,Boomers,Bachelor,Married,62998.0,High,0,1,1,2013-09-30,10,0,120.0,58,73,65,89,58,463.0,5,5,4,5,5,19,0,0,0,0,0,0,0,Low Recency
433,1958,56,Boomers,Master,Single,61331.0,High,1,1,2,2013-03-10,42,0,534.0,5,47,0,5,41,632.0,5,8,1,6,8,20,0,0,0,0,0,0,0,High Recency
9597,1969,45,Gen X,Bachelor,Married,73448.0,Highest,0,0,0,2014-02-10,10,0,236.0,83,189,23,41,122,694.0,1,7,2,9,4,19,0,0,0,0,0,0,0,Low Recency
1295,1963,51,Gen X,Bachelor,Married,50737.0,Low,0,1,1,2013-08-11,96,0,231.0,65,196,38,71,122,723.0,1,6,5,7,4,19,0,0,0,0,0,0,0,High Recency
5290,1964,50,Gen X,PhD,Married,41551.0,Low,1,1,2,2013-08-14,51,0,220.0,0,33,3,0,23,279.0,5,5,1,5,8,16,0,0,0,0,0,0,0,High Recency
1685,1967,47,Gen X,PhD,Married,62981.0,High,0,0,0,2013-03-17,21,0,796.0,14,499,38,44,3,1394.0,1,4,5,11,3,21,0,0,0,1,0,0,1,Low Recency
5342,1976,38,Milennial,Basic,Divorced,9548.0,Lowest,1,0,1,2012-08-08,31,0,6.0,1,7,10,6,9,39.0,2,1,0,3,8,6,0,0,0,0,0,0,0,High Recency
9579,1959,55,Boomers,PhD,Married,33762.0,Lowest,2,1,3,2013-07-07,61,0,53.0,1,34,2,0,16,106.0,3,2,2,2,8,9,0,0,0,0,0,0,0,High Recency
7660,1973,41,Gen X,PhD,Single,35860.0,Low,1,1,2,2014-05-19,37,0,15.0,0,8,4,2,20,49.0,2,1,1,2,5,6,0,0,1,0,0,1,2,High Recency
